key	en	zh-CN	zh-TW	de	fr	ko	ja	es	pt-BR	ru	tr
Language	Language	语言	語言	Sprache	Langue	언어	言語	Idioma	Idioma	Язык	Dil
World Builder [%s]	World Builder [%s]	世界编辑器 [%s]	世界編輯器 [%s]	World Builder [%s]	World Builder [%s]	월드 빌더 [%s]	ワールドビルダー [%s]	World Builder [%s]	World Builder [%s]	World Builder [%s]	World Builder [%s]
World Builder v%s [%s] %s = %s, %s = hide	World Builder v%s [%s] %s = %s, %s = hide	世界编辑器 v%s [%s] %s = %s，%s = 隐藏	世界編輯器 v%s [%s] %s = %s，%s = 隱藏	World Builder v%s [%s] %s = %s, %s = ausblenden	World Builder v%s [%s] %s = %s, %s = masquer	World Builder v%s [%s] %s = %s, %s = 숨기기	World Builder v%s [%s] %s = %s、%s = 非表示	World Builder v%s [%s] %s = %s, %s = ocultar	World Builder v%s [%s] %s = %s, %s = ocultar	World Builder v%s [%s] %s = %s, %s = скрыть	World Builder v%s [%s] %s = %s, %s = gizle
Browser	Browser	浏览	瀏覽	Browser	Navigateur	브라우저	ブラウザー	Navegador	Navegador	Каталог	Tarayıcı
Scene	Scene	场景	場景	Szene	Scène	장면	シーン	Escena	Cena	Сцена	Sahne
Project	Project	项目	專案	Projekt	Projet	프로젝트	プロジェクト	Proyecto	Projeto	Проект	Proje
Settings	Settings	设置	設定	Einstellungen	Paramètres	설정	設定	Ajustes	Configurações	Настройки	Ayarlar
Log	Log	日志	記錄	Protokoll	Journal	로그	ログ	Registro	Registro	Журнал	Kayıt
Travel	Travel	传送	傳送	Reisen	Déplacement	이동	移動	Viaje	Viagem	Перемещение	Seyahat
PLAY	PLAY	游玩	遊玩	SPIELEN	JOUER	플레이	プレイ	JUGAR	JOGAR	ИГРА	OYNA
EDIT	EDIT	编辑	編輯	BEARBEITEN	ÉDITER	편집	編集	EDITAR	EDITAR	РЕДАКТИРОВАТЬ	DÜZENLE
PLAY MODE	PLAY MODE	游玩模式	遊玩模式	SPIELMODUS	MODE JEU	플레이 모드	プレイモード	MODO JUEGO	MODO JOGO	РЕЖИМ ИГРЫ	OYUN MODU
EDIT MODE	EDIT MODE	编辑模式	編輯模式	BEARBEITUNGSMODUS	MODE ÉDITION	편집 모드	編集モード	MODO EDICIÓN	MODO EDIÇÃO	РЕЖИМ РЕДАКТИРОВАНИЯ	DÜZENLEME MODU
edit	edit	编辑	編輯	Bearbeiten	éditer	편집	編集	editar	editar	редактирование	düzenle
play	play	游玩	遊玩	Spielen	jouer	플레이	プレイ	jugar	jogar	играть	oyna
back to editing	back to editing	返回编辑	返回編輯	zurück zum Bearbeiten	reprendre l’édition	편집으로 돌아가기	編集に戻る	volver a editar	voltar à edição	вернуться к редактированию	düzenlemeye dön
play mode	play mode	游玩模式	遊玩模式	Spielmodus	mode jeu	플레이 모드	プレイモード	modo juego	modo de jogo	режим игры	oyun modu
CATEGORIES	CATEGORIES	分类	分類	KATEGORIEN	CATÉGORIES	카테고리	カテゴリー	CATEGORÍAS	CATEGORIAS	КАТЕГОРИИ	KATEGORİLER
COLLECTIONS	COLLECTIONS	收藏集	收藏集	SAMMLUNGEN	COLLECTIONS	컬렉션	コレクション	COLECCIONES	COLEÇÕES	КОЛЛЕКЦИИ	KOLEKSİYONLAR
your own named prefab lists; add the selected prefab from the details panel	your own named prefab lists; add the selected prefab from the details panel	自定义命名的预制件列表；可从详情面板添加所选预制件	自訂命名的預製件清單；可從詳細資訊面板加入所選預製件	Eigene benannte Prefab-Listen; füge das ausgewählte Prefab im Detailbereich hinzu	Vos listes de prefabs ; ajoutez le prefab sélectionné depuis le panneau de détails	이름을 지정한 프리팹 목록입니다. 세부 정보 패널에서 선택한 프리팹을 추가하세요	名前を付けたPrefabリストです。詳細パネルから選択中のPrefabを追加できます	Listas propias de prefabs; añade el seleccionado desde el panel de detalles	Listas próprias de prefabs; adicione o selecionado pelo painel de detalhes	Именованные списки префабов; добавляйте выбранный префаб на панели сведений	Adlandırılmış prefab listeleriniz; seçili prefabı ayrıntılar panelinden ekleyin
drag the right edge of this pane to resize it	drag the right edge of this pane to resize it	拖动此面板右边缘可调整大小	拖曳此面板右側邊緣可調整大小	Ziehe den rechten Rand dieses Bereichs, um die Größe zu ändern	Faites glisser le bord droit de ce panneau pour le redimensionner	패널 오른쪽 가장자리를 끌어 크기를 조정하세요	このペインの右端をドラッグしてサイズを変更します	Arrastra el borde derecho de este panel para cambiar su tamaño	Arraste a borda direita deste painel para redimensioná-lo	Перетащите правый край панели, чтобы изменить её размер	Boyutunu değiştirmek için bu panelin sağ kenarını sürükleyin
delete collection	delete collection	删除收藏集	刪除收藏集	Sammlung löschen	Supprimer la collection	컬렉션 삭제	コレクションを削除	Eliminar colección	Excluir coleção	Удалить коллекцию	Koleksiyonu sil
new collection	new collection	新建收藏集	新增收藏集	Neue Sammlung	Nouvelle collection	새 컬렉션	新しいコレクション	Nueva colección	Nova coleção	Новая коллекция	Yeni koleksiyon
add	add	添加	新增	Hinzufügen	Ajouter	추가	追加	Añadir	Adicionar	Добавить	Ekle
clear	clear	清除	清除	Leeren	Effacer	지우기	クリア	Limpiar	Limpar	Очистить	Temizle
list	list	列表	清單	Liste	Liste	목록	リスト	Lista	Lista	Список	Liste
cards	cards	卡片	卡片	Karten	Cartes	카드	カード	Tarjetas	Cartões	Карточки	Kartlar
favorites	favorites	收藏	我的最愛	Favoriten	Favoris	즐겨찾기	お気に入り	Favoritos	Favoritos	Избранное	Favoriler
favorites only	favorites only	仅显示收藏	僅顯示我的最愛	Nur Favoriten	Favoris uniquement	즐겨찾기만 표시	お気に入りのみ	Solo favoritos	Somente favoritos	Только избранное	Yalnızca favoriler
meshes	meshes	网格	網格	Meshes	Maillages	메시	メッシュ	Mallas	Malhas	Меши	Meshler
meshes only	meshes only	仅显示网格	僅顯示網格	Nur Meshes	Maillages uniquement	메시만 표시	メッシュのみ	Solo mallas	Somente malhas	Только меши	Yalnızca meshler
search  (words in any order, e.g. lamp torch)	search  (words in any order, e.g. lamp torch)	搜索（词语顺序不限，例如 lamp torch）	搜尋（詞語順序不限，例如 lamp torch）	Suche (Wörter in beliebiger Reihenfolge, z. B. lamp torch)	Rechercher (mots dans n’importe quel ordre, p. ex. lamp torch)	검색(단어 순서는 상관없음, 예: lamp torch)	検索（語順不問、例：lamp torch）	Buscar (palabras en cualquier orden, p. ej., lamp torch)	Buscar (palavras em qualquer ordem, ex.: lamp torch)	Поиск (слова в любом порядке, например lamp torch)	Ara (kelimeler herhangi bir sırada, ör. lamp torch)
